Metabolites,FC,FDR,sign
MEDL00369,1.053449116,0.416058509,non significant
MEDL00401,1.020037567,0.517657893,non significant
MEDL01837,1.099146018,0.430948602,non significant
MEDL01844,1.009566009,0.99323154,non significant
MEDL02211,1.301585076,0.763859988,non significant
MEDL02553,0.638733704,0.024686333,Lower in AD
MEDL02681,0.92256473,0.290626551,non significant
MEDL02760,0.916730007,0.417214039,non significant
MEDN0007,0.915750666,0.182371856,non significant
MEDN0009,1.020149556,0.666035124,non significant
MEDN0019,0.918603246,0.047196123,Lower in AD
MEDN0041,1.273476963,0.366464362,non significant
MEDN0046,1.008695334,0.88327558,non significant
MEDN0047,1.037393612,0.774604413,non significant
MEDN0049,1.043281025,0.433203758,non significant
MEDN0060,0.884072423,0.392794288,non significant
MEDN0062,0.882805174,0.396722737,non significant
MEDN0065,0.953031359,0.354502924,non significant
MEDN0086,0.939335067,0.268695062,non significant
MEDN0110,1.576528155,0.380545794,non significant
MEDN0113,1.217011134,0.375263622,non significant
MEDN0147,0.927466061,0.107272212,non significant
MEDN0153,1.012772955,0.807796099,non significant
MEDN0161,0.968599161,0.745399595,non significant
MEDN0202,1.059737591,0.341165057,non significant
MEDN0206,1.02687955,0.763859988,non significant
MEDN0210,0.8981371,0.255914292,non significant
MEDN0222,1.019106299,0.996366714,non significant
MEDN0226,0.97305394,0.139996367,non significant
MEDN0237,1.050084183,0.501016225,non significant
MEDN0239,1.23671315,0.020454501,Higher in AD
MEDN0240,0.99979125,0.966127108,non significant
MEDN0245,0.823668046,0.332743078,non significant
MEDN0280,0.956575337,0.505215277,non significant
MEDN0283,1.177601344,0.959943898,non significant
MEDN0286,0.280348017,0.400817249,non significant
MEDN0290,0.937211627,0.527581701,non significant
MEDN0299,1.134703538,0.195081177,non significant
MEDN0301,1.230397393,0.796895442,non significant
MEDN0334,1.437385834,0.046078633,Higher in AD
MEDN0340,0.912168173,0.52534761,non significant
MEDN0368,1.004679504,0.905788313,non significant
MEDN0385,0.98317877,0.872154466,non significant
MEDN0390,1.042499979,0.891253766,non significant
MEDN0410,1.015379855,0.69622897,non significant
MEDN0434,1.156819881,0.000369129,Higher in AD
MEDN0439,1.115483506,0.200245456,non significant
MEDN0444,1.108490828,0.346384836,non significant
MEDN0463,1.15523063,0.005071856,Higher in AD
MEDN0472,0.56209673,0.147174266,non significant
MEDN0496,1.129430328,0.089264091,non significant
MEDN0528,1.262984946,0.89464718,non significant
MEDN0533,1.319267609,0.984674285,non significant
MEDN0536,1.039773954,0.791448816,non significant
MEDN0541,0.988970133,0.961505785,non significant
MEDN0547,1.051829472,0.431871071,non significant
MEDN0554,0.942943807,0.375263622,non significant
MEDN0562,0.967943074,0.118132036,non significant
MEDN0570,1.131519635,0.177035078,non significant
MEDN0579,1.149650023,0.393852687,non significant
MEDN0586,1.094839521,0.290642625,non significant
MEDN0593,1.127490457,0.960424758,non significant
MEDN0602,1.012772955,0.807796099,non significant
MEDN0604,1.540804414,0.042505524,Higher in AD
MEDN0609,1.146222394,0.727206341,non significant
MEDN0611,0.99104917,0.872154466,non significant
MEDN0616,0.988778259,0.66765018,non significant
MEDN0658,1.500864669,0.065143218,non significant
MEDN0704,0.966356454,0.595863095,non significant
MEDN0720,0.976055918,0.683267071,non significant
MEDN0729,0.229287635,0.00021275,Lower in AD
MEDN0745,0.713500006,0.052616665,non significant
MEDN0783,0.769999122,0.227186117,non significant
MEDN0818,1.12479026,0.223307613,non significant
MEDN0820,0.862433333,0.195081177,non significant
MEDN0826,1.181144901,0.60452168,non significant
MEDN0827,0.912047858,0.168828527,non significant
MEDN0843,0.957423792,0.45160961,non significant
MEDN1003,1.108490828,0.346384836,non significant
MEDN1005,0.953742953,0.291270862,non significant
MEDN1009,1.380462528,0.055660215,non significant
MEDN1012,1.079373908,0.269500166,non significant
MEDN1041,1.11841894,0.144004821,non significant
MEDN1052,1.02687955,0.763859988,non significant
MEDN1056,1.012759083,0.798391173,non significant
MEDN1064,1.429997009,0.413729868,non significant
MEDN1069,1.343321157,0.580598442,non significant
MEDN1077,1.544345463,0.14098685,non significant
MEDN1081,0.858973055,0.563101154,non significant
MEDN1104,2.145120396,0.375263622,non significant
MEDN1108,0.832346223,0.029666766,Lower in AD
MEDN1112,1.042209026,0.618664922,non significant
MEDN1114,0.862433333,0.195081177,non significant
MEDN1121,0.965897023,0.591478365,non significant
MEDN1125,1.003232895,0.922326511,non significant
MEDN1126,1.575826045,0.069916983,non significant
MEDN1129,1.131519635,0.177035078,non significant
MEDN1141,2.145120396,0.375263622,non significant
MEDN1148,1.042209026,0.618664922,non significant
MEDN1200,1.021394762,0.501120836,non significant
MEDN1224,1.030809647,0.322677015,non significant
MEDN1226,1.12479026,0.223307613,non significant
MEDN1235,1.124552759,0.2440721,non significant
MEDN1246,0.934617419,0.077293319,non significant
MEDN1247,1.080310435,0.3749154,non significant
MEDN1264,1.178236052,0.392794288,non significant
MEDN1267,1.171693567,0.443340735,non significant
MEDN1269,0.996696263,0.885524746,non significant
MEDN1277,1.063824831,0.855970375,non significant
MEDN1283,1.01678144,0.974235678,non significant
MEDN1287,1.17971531,0.271653473,non significant
MEDN1311,0.808773401,0.127719799,non significant
MEDN1320,1.183278259,0.133679273,non significant
MEDN1329,1.725903356,0.391078686,non significant
MEDN1384,1.052136093,0.501226537,non significant
MEDN1400,1.120225282,0.5902882,non significant
MEDN1409,1.064466661,0.602596324,non significant
MEDN1410,1.03770558,0.319105429,non significant
MEDN1413,0.892221744,0.72705359,non significant
MEDN1417,1.11190079,0.392110178,non significant
MEDN1428,0.983927103,0.796895442,non significant
MEDN1475,1.016513294,0.778273983,non significant
MEDN1485,1.022370087,0.785759009,non significant
MEDN1496,0.878324847,0.1998438,non significant
MEDN1508,1.163532187,0.925779909,non significant
MEDN1518,1.001953435,0.9052549,non significant
MEDN1533,1.076926675,0.615044053,non significant
MEDN1534,0.914025165,0.358732122,non significant
MEDN1548,0.991015584,0.914027365,non significant
MEDN1554,1.025425363,0.549898904,non significant
MEDN1566,1.058706569,0.740253181,non significant
MEDN1597,0.930512039,0.134295214,non significant
MEDN1600,0.931258735,0.282260192,non significant
MEDN1613,1.013053276,0.785370869,non significant
MEDN1620,0.948160723,0.620952926,non significant
MEDN1643,1.001449829,0.999309674,non significant
MEDN1649,0.953207934,0.591593336,non significant
MEDN1656,1.021693266,0.630916874,non significant
MEDN1688,0.808635034,0.124534148,non significant
MEDN1690,1.17768768,0.454063817,non significant
MEDN1691,1.496938195,0.430948602,non significant
MEDN1709,1.140102707,0.424906071,non significant
MEDN1710,1.084019576,0.110383016,non significant
MEDP0002,0.972420824,0.796895442,non significant
MEDP0006,1.135701378,0.132943847,non significant
MEDP0007,1.237835946,0.009457274,Higher in AD
MEDP0009,0.950804568,0.424906071,non significant
MEDP0011,0.890317938,0.118970767,non significant
MEDP0012,1.037495287,0.614661214,non significant
MEDP0016,0.944812688,0.5902882,non significant
MEDP0020,0.923592116,0.336450253,non significant
MEDP0026,0.896024434,0.024686333,Lower in AD
MEDP0037,1.196064149,0.230203865,non significant
MEDP0039,1.079385128,0.515986114,non significant
MEDP0063,0.845564767,0.225541026,non significant
MEDP0066,0.93817194,0.430948602,non significant
MEDP0077,1.472632214,0.018171711,Higher in AD
MEDP0078,0.914384933,0.187972762,non significant
MEDP0084,0.83029297,0.905788313,non significant
MEDP0086,1.031722818,0.851992086,non significant
MEDP0120,0.576391374,0.012910183,Lower in AD
MEDP0125,1.054679147,0.615044053,non significant
MEDP0145,0.415385833,0.012910183,Lower in AD
MEDP0146,0.947552773,0.368819942,non significant
MEDP0147,0.975559846,0.631211586,non significant
MEDP0148,0.456778417,0.015150493,Lower in AD
MEDP0152,0.962120902,0.760207455,non significant
MEDP0154,1.035834149,0.461535179,non significant
MEDP0159,0.959649547,0.61300506,non significant
MEDP0165,0.974567776,0.931893872,non significant
MEDP0170,1.068453478,0.760207455,non significant
MEDP0174,0.997526567,0.959740001,non significant
MEDP0177,1.034953251,0.424906071,non significant
MEDP0178,0.990825091,0.963703869,non significant
MEDP0184,0.92619498,0.056596126,non significant
MEDP0242,0.860912951,0.159188311,non significant
MEDP0246,0.964521212,0.579345151,non significant
MEDP0250,0.557138103,0.057725634,non significant
MEDP0251,0.547950704,0.042505524,Lower in AD
MEDP0277,1.047137963,0.900053646,non significant
MEDP0295,1.081735044,0.101801385,non significant
MEDP0296,1.107599977,0.152745585,non significant
MEDP0297,0.987934577,0.790752188,non significant
MEDP0299,0.979379526,0.281965996,non significant
MEDP0305,1.01728668,0.834509586,non significant
MEDP0307,0.844493443,0.203446644,non significant
MEDP0315,1.246960847,0.848948342,non significant
MEDP0318,1.039737961,0.618664922,non significant
MEDP0321,0.993072462,0.848377297,non significant
MEDP0325,0.968351164,0.560132306,non significant
MEDP0326,0.883359394,0.073568495,non significant
MEDP0336,0.955329776,0.560199073,non significant
MEDP0357,1.211721651,0.551026805,non significant
MEDP0380,1.126098525,0.038919455,Higher in AD
MEDP0382,1.151892256,0.042505524,Higher in AD
MEDP0384,1.07822291,0.277535846,non significant
MEDP0387,0.845115356,0.042505524,Lower in AD
MEDP0389,1.025868007,0.293390182,non significant
MEDP0395,1.024756287,0.798391173,non significant
MEDP0401,0.995923396,0.959943898,non significant
MEDP0442,0.929728545,0.185420812,non significant
MEDP0453,0.951998564,0.345758156,non significant
MEDP0461,1.123425597,0.140735501,non significant
MEDP0518,0.721798671,0.689004649,non significant
MEDP0519,0.901802319,0.024686333,Lower in AD
MEDP0529,1.027643382,0.616282743,non significant
MEDP0535,0.942000068,0.420664409,non significant
MEDP0545,0.887922775,0.348635686,non significant
MEDP0576,1.446200365,0.268695062,non significant
MEDP0598,0.964289335,0.402982125,non significant
MEDP0617,0.79425556,0.341933508,non significant
MEDP0627,0.922567649,0.255914292,non significant
MEDP0637,0.932910718,0.305001824,non significant
MEDP0658,0.980097903,0.92472857,non significant
MEDP0685,0.940865447,0.341933508,non significant
MEDP0792,0.904212004,0.04274205,Lower in AD
MEDP0831,0.83029297,0.905788313,non significant
MEDP0881,1.003171703,0.970806707,non significant
MEDP0889,1.073623837,0.2829698,non significant
MEDP0891,0.900874188,0.430948602,non significant
MEDP0894,1.040205353,0.313623891,non significant
MEDP1002,1.035413323,0.666035124,non significant
MEDP1003,1.006090491,0.893806171,non significant
MEDP1020,1.420999772,0.676778417,non significant
MEDP1032,1.245513713,0.688305214,non significant
MEDP1033,0.99477099,0.92884369,non significant
MEDP1061,0.99057635,0.804303577,non significant
MEDP1062,0.963012921,0.615044053,non significant
MEDP1068,0.941433863,0.285324842,non significant
MEDP1072,1.123425597,0.140735501,non significant
MEDP1073,1.066254971,0.160562783,non significant
MEDP1077,0.979555754,0.95588807,non significant
MEDP1083,0.903701429,0.132943847,non significant
MEDP1096,0.93506461,0.398372725,non significant
MEDP1100,0.958021612,0.473966137,non significant
MEDP1127,0.959402498,0.589433238,non significant
MEDP1132,1.035413323,0.666035124,non significant
MEDP1144,0.930574873,0.291270862,non significant
