Metabolites,FC,FDR,sign
MEDL00369,1.035688694,0.736860635,non significant
MEDL00401,0.996897316,0.933243893,non significant
MEDL01837,1.057005738,0.681204321,non significant
MEDL01844,0.902077255,0.712846149,non significant
MEDL02211,0.9070298,0.884032255,non significant
MEDL02553,0.874184338,0.139023892,non significant
MEDL02681,0.953687937,0.61370145,non significant
MEDL02760,0.919279897,0.503361461,non significant
MEDN0007,0.942791348,0.46631114,non significant
MEDN0009,1.016207039,0.717843819,non significant
MEDN0019,0.973279796,0.640236586,non significant
MEDN0041,0.915853958,0.830216993,non significant
MEDN0046,0.976066853,0.681204321,non significant
MEDN0047,0.994164474,0.884162341,non significant
MEDN0049,1.005864299,0.925015576,non significant
MEDN0060,0.808393267,0.323855098,non significant
MEDN0062,0.94342216,0.873375293,non significant
MEDN0065,0.968155387,0.631826556,non significant
MEDN0086,0.951572508,0.493888203,non significant
MEDN0110,1.66238927,0.281421672,non significant
MEDN0113,1.04648201,0.830216993,non significant
MEDN0147,0.94346495,0.281421672,non significant
MEDN0153,0.996165859,0.805618699,non significant
MEDN0161,0.948430077,0.909259245,non significant
MEDN0202,1.064740534,0.386199719,non significant
MEDN0206,1.124787584,0.437150639,non significant
MEDN0210,1.00888925,0.997409269,non significant
MEDN0222,0.997519993,0.99898585,non significant
MEDN0226,0.98041563,0.331826565,non significant
MEDN0237,1.077397415,0.373226862,non significant
MEDN0239,1.2355615,0.023595114,Higher in MCI
MEDN0240,1.006608783,0.756000199,non significant
MEDN0245,1.011987973,0.741949381,non significant
MEDN0280,0.955483339,0.553051257,non significant
MEDN0283,0.947908076,0.977541598,non significant
MEDN0286,0.368579928,0.949344245,non significant
MEDN0290,0.972967652,0.753734383,non significant
MEDN0299,0.928599302,0.46704513,non significant
MEDN0301,0.989071586,0.736860635,non significant
MEDN0334,1.322963444,0.31788811,non significant
MEDN0340,0.901739135,0.565752333,non significant
MEDN0368,0.896992393,0.775449672,non significant
MEDN0385,0.732452694,0.606062449,non significant
MEDN0390,1.079154008,0.907401179,non significant
MEDN0410,1.027794725,0.515056076,non significant
MEDN0434,1.096740353,0.02458477,Higher in MCI
MEDN0439,1.028432052,0.46704513,non significant
MEDN0444,1.053500256,0.657958119,non significant
MEDN0463,1.14003641,0.016723884,Higher in MCI
MEDN0472,0.864863829,0.739874156,non significant
MEDN0496,1.032117795,0.739874156,non significant
MEDN0528,1.140743516,0.493888203,non significant
MEDN0533,1.138211089,0.739874156,non significant
MEDN0536,0.660781489,0.77780654,non significant
MEDN0541,0.93496657,0.655140002,non significant
MEDN0547,0.974547424,0.810479088,non significant
MEDN0554,0.987588874,0.85361987,non significant
MEDN0562,0.993023763,0.74575586,non significant
MEDN0570,1.117901286,0.959643247,non significant
MEDN0579,1.19170365,0.649993783,non significant
MEDN0586,1.046698814,0.464225307,non significant
MEDN0593,1.09580422,0.274074705,non significant
MEDN0602,0.996165859,0.805618699,non significant
MEDN0604,0.995824716,0.944175889,non significant
MEDN0609,1.309841081,0.590702408,non significant
MEDN0611,0.993412975,0.952093342,non significant
MEDN0616,0.987153709,0.668094265,non significant
MEDN0658,0.983597247,0.99898585,non significant
MEDN0704,0.990742706,0.736860635,non significant
MEDN0720,1.017612895,0.830216993,non significant
MEDN0729,0.682274246,0.399543154,non significant
