Metabolites,FC,pvalue,vip,sign
MEDL00369,1.0594691781478032,0.5532193286747138,0.8033917832226819,non significant
MEDL00401,0.9970040883638112,0.9455049796854561,0.0937864563034321,non significant
MEDL01837,1.0441209603926724,0.7841574689929285,0.6149904859757146,non significant
MEDL01844,0.9106430625495225,0.7781301958537439,0.5226472488246485,non significant
MEDL02211,0.9499265711481686,0.9985353091693895,0.21873841089239748,non significant
MEDL02553,0.881283848423068,0.1953728563692831,1.2193893722457165,non significant
MEDL02681,0.9446485037702513,0.614949531433521,0.5539922839911385,non significant
MEDL02760,0.9218236185741931,0.588744355593252,0.5922510579467208,non significant
MEDN0007,0.9576655681799201,0.6418110054400152,0.6767080759539168,non significant
MEDN0009,1.0182268386973914,0.7174063645413445,0.4829091569407318,non significant
MEDN0019,0.9855101551956217,0.8500796349536329,0.27499186728284286,non significant
MEDN0041,0.9296533023107347,0.9152035839928349,0.2053671713129697,non significant
MEDN0046,0.9974592129759138,0.9985353091693895,0.2701548415405101,non significant
MEDN0047,1.0014196237073223,0.9455049796854561,0.31899404936763204,non significant
MEDN0049,0.9946142124904018,0.9428133353334559,0.2745858793319959,non significant
MEDN0060,0.8603679352287029,0.5081072686100968,0.7636194198674434,non significant
MEDN0062,0.9349326584335309,0.7127718828966896,0.4397750801812267,non significant
MEDN0065,0.9733939430239016,0.745513944728651,0.42714386549465333,non significant
MEDN0086,0.9409248141570845,0.44261286681989365,1.2035116272211062,non significant
MEDN0110,1.626010468921286,0.30562769594513584,1.259958390678326,non significant
MEDN0113,1.0462144020476647,0.8090983949704541,0.5397908575747087,non significant
MEDN0147,0.9507117994480103,0.41637105760666626,0.8766671891299265,non significant
MEDN0153,1.018097762993587,0.8554916494416929,0.3579204103194161,non significant
MEDN0161,0.9320803081295781,0.966027293246199,0.22185051126720784,non significant
MEDN0202,1.0525388272125733,0.48267244376340573,0.948696823780899,non significant
MEDN0206,1.132788939115798,0.49300274143612033,0.784994772926816,non significant
MEDN0210,1.038951413363649,0.8953877668220114,0.6805872263202558,non significant
MEDN0222,1.0086637690700186,0.947611154584907,0.2680509085038474,non significant
MEDN0226,0.988489710297024,0.6428025582482398,0.5137689138410146,non significant
MEDN0237,1.1002250489308705,0.27878774593368366,1.3455999684701612,non significant
MEDN0239,1.2651906482655477,0.020358948600417922,2.055577591300563,Higher in MCI
MEDN0240,1.010664438756791,0.6348010414849501,0.7856822737531839,non significant
MEDN0245,1.0569836564002664,0.593002878377702,0.7567574851608019,non significant
MEDN0280,0.9617696423466284,0.6428025582482398,0.6522637786023107,non significant
MEDN0283,0.8893371332043166,0.8756272838936662,0.5809668340694668,non significant
MEDN0286,0.34784174113559635,0.7131442647277089,0.4925014124755339,non significant
MEDN0290,0.9677913851133458,0.7654758541849229,0.45003889038137573,non significant
MEDN0299,0.8930856885302757,0.22781815379090198,1.458835083744604,non significant
MEDN0301,0.898335909082109,0.5055935275238912,0.7822209241269904,non significant
MEDN0334,1.3199420348986937,0.3604861836363967,1.0470752458674066,non significant
MEDN0340,0.8669068524231399,0.4996790576485856,0.9944025260977244,non significant
MEDN0368,0.922804222749442,0.8941878560094614,0.9891135839264195,non significant
MEDN0385,0.697033714734887,0.5482915044996942,0.7375794440027287,non significant
MEDN0390,1.0618814351912071,0.9630542085196343,0.231310351342992,non significant
MEDN0410,1.0312303682448936,0.5086161513098802,0.8420499312846205,non significant
MEDN0434,1.1003017960843837,0.030978653814072162,1.8041888675727085,Higher in MCI
MEDN0439,1.0389818260507877,0.4996790576485856,0.921318973216886,non significant
MEDN0444,1.0409173209397067,0.7643562582783725,0.37397924148426154,non significant
MEDN0463,1.1706786198606332,0.007395947918552071,2.437331596730243,Higher in MCI
MEDN0472,0.7813818472562983,0.5443437920409478,0.8596675974310566,non significant
MEDN0496,1.0544150664648575,0.5676708762792781,0.8878333769655797,non significant
MEDN0528,1.1620044658609952,0.5482915044996942,0.7472552418022992,non significant
MEDN0533,1.0762537411565696,0.8090983949704541,0.3164349754481918,non significant
MEDN0536,0.6730358386627104,0.947611154584907,0.14604858135208496,non significant
MEDN0541,0.9194369722203186,0.5670717049675585,0.8327348888049169,non significant
MEDN0547,0.9684236041083321,0.8213191093989165,0.48801362242278884,non significant
MEDN0554,0.9743551870951149,0.7131442647277089,0.6238567241849651,non significant
MEDN0562,1.00004196714762,0.9769211660165545,0.32410740950990125,non significant
MEDN0570,1.0908419692663707,0.8998234667274644,0.26891789370820757,non significant
MEDN0579,1.2236492094802063,0.5636954648636029,0.9499290574366773,non significant
MEDN0586,1.0678985033876813,0.4790414213581709,0.9797044498626609,non significant
MEDN0593,1.119195688600345,0.15652400703925468,1.4880090587434722,non significant
MEDN0602,1.018097762993587,0.8554916494416929,0.3579204103194161,non significant
MEDN0604,1.014182395806744,0.9673114173499551,0.22006812139858198,non significant
MEDN0609,1.3902243265646186,0.5587989261037584,0.902953767397957,non significant
MEDN0611,0.9882426113611914,0.9446184812476552,0.6635713753524624,non significant
MEDN0616,0.9786753345454471,0.5674334398758448,0.8023734106613243,non significant
MEDN0658,0.9837245764686662,0.9975582885938116,0.3476383965683574,non significant
MEDN0704,1.0165362818148842,0.7951897745284533,0.4603903123268692,non significant
MEDN0720,1.0013135040061127,0.9968511573796256,0.431853526272832,non significant
MEDN0729,0.6884259702828065,0.456002224573694,0.8275928017177898,non significant
MEDN0745,0.9592913740609571,0.5895738264614367,0.8207772833362814,non significant
MEDN0783,0.8026724689723398,0.6428025582482398,0.556061853783788,non significant
MEDN0818,1.082956863051126,0.4489997045020819,0.9942185601195681,non significant
MEDN0820,0.944879476849618,0.8132959099195174,0.35335238998206897,non significant
MEDN0826,1.2411283048754662,0.6382843748899313,0.8383892901527582,non significant
MEDN0827,0.96192832163492,0.653757902705768,0.583217759016124,non significant
MEDN0843,0.9612185203403673,0.6428025582482398,0.5393796066709112,non significant
MEDN1003,1.0409173209397067,0.7643562582783725,0.37397924148426154,non significant
MEDN1005,0.9925882457424622,0.9805651912305973,0.2469402612430821,non significant
MEDN1009,1.3221658239003398,0.24585560512637136,1.2278722623390124,non significant
MEDN1012,1.0806785253289697,0.43418283631559396,1.0782142513178745,non significant
MEDN1041,0.8204642961947535,0.9988538162477477,0.12283563761699157,non significant
MEDN1052,1.132788939115798,0.49300274143612033,0.784994772926816,non significant
MEDN1056,1.0291733116596828,0.5482915044996942,0.7395601410877264,non significant
MEDN1064,1.2426377351415607,0.46464386054469786,0.8462391439274594,non significant
MEDN1069,1.272895626120446,0.5791793448973557,0.7336987158652328,non significant
MEDN1077,1.5101899383984978,0.5895738264614367,0.6594861017446754,non significant
MEDN1081,0.8332444673833644,0.4790414213581709,0.7762356315128844,non significant
MEDN1104,2.005567774486482,0.9805651912305973,0.21289922081949852,non significant
MEDN1108,1.0593618172837918,0.9046782159876026,0.6235803424266575,non significant
MEDN1112,1.0200696641075861,0.8756272838936662,0.42132228544014133,non significant
MEDN1114,0.944879476849618,0.8132959099195174,0.35335238998206897,non significant
MEDN1121,0.9629101737272661,0.6519863433497278,0.575307020859979,non significant
MEDN1125,0.9921653911720055,0.8325118256697978,0.6671520812419605,non significant
MEDN1126,1.4812364481613036,0.37749107538718385,0.9514180739051675,non significant
MEDN1129,1.0908419692663707,0.8998234667274644,0.26891789370820757,non significant
MEDN1141,2.005567774486482,0.9805651912305973,0.21289922081949852,non significant
MEDN1148,1.0200696641075861,0.8756272838936662,0.42132228544014133,non significant
MEDN1200,0.753900871343126,0.7174063645413445,0.5400472928900479,non significant
MEDN1224,1.0484884022255159,0.15182577817358997,1.2465778297398495,non significant
MEDN1226,1.082956863051126,0.4489997045020819,0.9942185601195681,non significant
MEDN1235,1.060930717860328,0.5096457917680236,0.9575239438335713,non significant
MEDN1246,0.9544763551280906,0.3604861836363967,0.9350562738926784,non significant
MEDN1247,1.0919659097816665,0.46464386054469786,0.9840311619864626,non significant
MEDN1264,1.216466024819123,0.5299923592900392,0.8061380306166612,non significant
MEDN1267,1.147070895770504,0.5443437920409478,0.9496873792197542,non significant
MEDN1269,0.9587786041301677,0.5895738264614367,0.999763677108995,non significant
MEDN1277,1.1655929782367331,0.927950775919075,1.201493843801201,non significant
MEDN1283,1.0884278303343642,0.8132959099195174,1.1081043242380222,non significant
MEDN1287,1.123319066611075,0.653757902705768,1.0229950186039607,non significant
MEDN1311,0.7780866465299107,0.3404859170910889,0.950948607551933,non significant
MEDN1320,1.0908423074336677,0.7595824498649117,0.41231789536133956,non significant
MEDN1329,1.8207179807097873,0.34515170002457485,1.2230415530841665,non significant
MEDN1384,1.0656171637388532,0.5086161513098802,0.8586294652553997,non significant
MEDN1400,1.0317455721191195,0.8090983949704541,0.5064023869242892,non significant
MEDN1409,0.9973495178855724,0.9152035839928349,0.4541002760147291,non significant
MEDN1410,0.9956492946541543,0.9458538752897743,0.5460353033306562,non significant
MEDN1413,1.4120290669546152,0.45506993969121723,0.9858978202636153,non significant
MEDN1417,0.9283651082538025,0.8090983949704541,0.4489471615127827,non significant
MEDN1428,0.9212541347791823,0.5771797065364496,0.6567152621396897,non significant
MEDN1475,0.9652534043216907,0.7174063645413445,0.4291184522105424,non significant
MEDN1485,1.0119157079527008,0.7784784402677385,1.086342275772659,non significant
MEDN1496,1.033959723171677,0.9805651912305973,0.042479234431344534,non significant
MEDN1508,0.9709424627989137,0.745513944728651,0.4210213493042392,non significant
MEDN1518,1.020045910504183,0.8786922706918537,0.7267788491056361,non significant
MEDN1533,1.633464655002339,0.9830736708063104,0.13035713503660776,non significant
MEDN1534,0.9321987511749513,0.745513944728651,0.405804237790679,non significant
MEDN1548,0.8946836471853352,0.4075554557858701,1.134566093924932,non significant
MEDN1554,0.9903514619434586,0.9835857861918904,0.3401206198137296,non significant
MEDN1566,0.9569827100026693,0.839062327884501,0.441972218973524,non significant
MEDN1597,0.9346687418344277,0.27878774593368366,1.2838239977964923,non significant
MEDN1600,0.9441321333479895,0.5039623842772921,0.9818716739092571,non significant
MEDN1613,1.034749063108779,0.7643562582783725,0.6860069051087829,non significant
MEDN1620,1.0683658315137992,0.48723248114620077,0.9260520889858055,non significant
MEDN1643,0.9759698251174943,0.8090983949704541,0.7009339899927656,non significant
MEDN1649,0.9946583686158224,0.8132959099195174,0.5551969418722588,non significant
MEDN1656,1.0065039108742766,0.9048591190048872,0.37520940343055936,non significant
MEDN1688,0.7712749403352405,0.24455092670525871,1.237327151803363,non significant
MEDN1690,1.1367639053451843,0.6428025582482398,0.5357912438197076,non significant
MEDN1691,1.0345840891174676,0.9630542085196343,0.46277876743350566,non significant
MEDN1709,0.9660348936858187,0.9630542085196343,0.293951274219841,non significant
MEDN1710,1.0544132212891157,0.45020097226771727,0.8784560621538555,non significant
MEDP0002,0.9414982937480848,0.6335141230796784,0.6071241950796622,non significant
MEDP0006,1.0502193360204866,0.5875126100725321,0.7103904690060251,non significant
MEDP0007,1.088009575793634,0.7008263827013044,0.45103040091929614,non significant
MEDP0009,0.9872991870259767,0.8457024711122062,0.30425732724296284,non significant
MEDP0011,0.9678897658939947,0.6643720474667947,0.5467976516012921,non significant
MEDP0012,1.1434611643685058,0.5715717931491164,0.9311207461106523,non significant
MEDP0016,1.1330916877954242,0.29939169194197685,1.1145990267827375,non significant
MEDP0020,0.9690448509702883,0.8090983949704541,0.3545835265570483,non significant
MEDP0026,0.9641572929455742,0.5964604862734882,0.6082698724773672,non significant
MEDP0037,1.136751157397488,0.5028691452271996,1.2397393336262796,non significant
MEDP0039,1.1596869215075392,0.10524150482594566,1.3608881245164683,non significant
MEDP0063,0.8725184767999116,0.4086388360281489,0.8609585129926534,non significant
MEDP0066,0.9359284300943312,0.5850010369821274,0.5943679199495254,non significant
MEDP0077,0.9197028983556923,0.745513944728651,0.44065794054631885,non significant
MEDP0078,1.0202761362726036,0.745513944728651,0.6785806140563736,non significant
MEDP0084,0.9131683710660395,0.745513944728651,0.6279002541603736,non significant
MEDP0086,0.9911573069506122,0.9880178847461386,0.04188033446150926,non significant
MEDP0120,0.6726241663052679,0.06770943167787875,1.647973683210719,non significant
MEDP0125,1.0729978161919034,0.5833294583502443,0.5986561473731116,non significant
MEDP0145,0.5822441372385224,0.2671161779274808,1.1080855245630954,non significant
MEDP0146,0.9893246771823434,0.8052973404194682,0.3083075175828727,non significant
MEDP0147,1.0503133452875788,0.7174063645413445,0.5879331712969235,non significant
MEDP0148,0.7127140280513475,0.20960434030591635,1.2488041355016986,non significant
MEDP0152,1.0298786009917864,0.714459256694502,0.4362681191437829,non significant
MEDP0154,1.0808157977116266,0.057906277347826204,1.503679758099108,non significant
MEDP0159,0.9939023545650701,0.9917872222295202,0.2983086840949583,non significant
MEDP0165,0.9286289838429818,0.7695984092881251,0.3748607788055273,non significant
MEDP0170,1.0081700342751645,0.8789936074637055,0.39140082681344995,non significant
MEDP0174,1.0163384810133582,0.8106241148900436,0.40006044806792107,non significant
MEDP0177,1.0260154754798196,0.7781301958537439,0.34791611542177253,non significant
MEDP0178,1.048356350085855,0.7781301958537439,0.4592336785229526,non significant
MEDP0184,0.9946262880557531,0.8982842474465815,0.210324047711775,non significant
MEDP0242,1.7060128205933827,0.745513944728651,0.4482604462340883,non significant
MEDP0246,0.9692019482367344,0.7643562582783725,0.4735965901800475,non significant
MEDP0250,0.6586877338418307,0.8908376052577368,0.17791210537304836,non significant
MEDP0251,0.6753092390786474,0.46309147197554595,0.8033014036446361,non significant
MEDP0277,1.054912916304902,0.9398277457221327,0.27819265626971856,non significant
MEDP0295,1.0426133369178654,0.5850010369821274,0.6848013539938127,non significant
MEDP0296,1.0224608427747501,0.8472156542325042,0.39271852605177243,non significant
MEDP0297,0.9582844252799082,0.5892820204309455,0.8491951672785121,non significant
MEDP0299,0.984737515661003,0.5214284698537524,0.9185998651041425,non significant
MEDP0305,0.9828454752450417,0.845858602279275,0.4046531545000154,non significant
MEDP0307,0.8922976616179086,0.599285463076238,0.8422891127764327,non significant
MEDP0315,0.9385046915771253,0.5411758263743877,0.7348628787209175,non significant
MEDP0318,1.0841802460562004,0.32663566684987005,1.1151253678761115,non significant
MEDP0321,0.988603223271504,0.8771749508366549,0.61529104670092,non significant
MEDP0325,1.0151941886289046,0.9903163714911738,0.06585351884764697,non significant
MEDP0326,0.928491000385424,0.5057704641874564,0.8427632217787442,non significant
MEDP0336,1.0133600188577705,0.8132959099195174,1.3713937406581738,non significant
MEDP0357,1.0169982553920691,0.9184460611704601,0.2008516349774371,non significant
MEDP0380,1.0685939894078187,0.34690755664404943,0.955752649392724,non significant
MEDP0382,1.0845824305530187,0.46464386054469786,0.8626645223423843,non significant
MEDP0384,1.0440820942464852,0.745513944728651,0.40300020920864016,non significant
MEDP0387,0.8564327979290459,0.10508291829306039,1.5927119514296677,non significant
MEDP0389,1.0242222630882856,0.517387836776374,0.7744930847784203,non significant
MEDP0395,1.1252002150381566,0.5042060056159186,0.8951034968834769,non significant
MEDP0401,1.0981655071657122,0.3566324271666907,0.9594732488881296,non significant
MEDP0442,0.9393736104435764,0.3121105429001481,1.0099767656288252,non significant
MEDP0453,0.9837335516830652,0.8293806948011031,0.4890063906843226,non significant
MEDP0461,1.098859689910745,0.4086388360281489,0.8626777689943617,non significant
MEDP0518,1.1418884682188923,0.9446184812476552,0.5493363179809603,non significant
MEDP0519,0.9735748234832315,0.7131442647277089,0.5050763082539377,non significant
MEDP0529,1.0570071783332056,0.5081072686100968,0.7028947042181938,non significant
MEDP0535,1.0089507406656284,0.9446184812476552,0.4824191000653961,non significant
MEDP0545,0.9612870307841503,0.6643720474667947,0.573593536020046,non significant
MEDP0576,0.9393497721783185,0.8722716222288593,0.711325020355305,non significant
MEDP0598,0.9778202555038403,0.7926268022456912,0.41499321508265036,non significant
MEDP0617,0.8684073950600725,0.7643562582783725,0.5190516155856346,non significant
MEDP0627,1.3042571600653932,0.8132959099195174,0.2925641395106254,non significant
MEDP0637,0.9167416254119749,0.4027571528404197,0.9618631638913965,non significant
MEDP0658,1.0089472937146047,0.9152035839928349,0.26151191473630336,non significant
MEDP0685,0.9749383393663853,0.7643562582783725,0.4453515068796892,non significant
MEDP0792,0.9559215241394816,0.5039623842772921,0.7088466956469791,non significant
MEDP0831,0.9131683710660395,0.745513944728651,0.6279002541603736,non significant
MEDP0881,1.023870816479371,0.4670061866232911,0.8464872636282218,non significant
MEDP0889,0.938175168043752,0.9814288378678527,0.3683391103732375,non significant
MEDP0891,0.9745468315873654,0.9880178847461386,0.44446545951566846,non significant
MEDP0894,1.0451220737766316,0.46464386054469786,0.9090564770455675,non significant
MEDP1002,0.9454752889502628,0.5791793448973557,1.0318677860479137,non significant
MEDP1003,1.0250971716869886,0.6542714889962612,0.6335313083204941,non significant
MEDP1020,1.4869897481889034,0.189708882422862,1.3417569060895014,non significant
