Compounds,Super class,Main class,Sub class,Index,Class I,Class II,Q1 (Da),Molecular Weight (Da),Ionization model,Formula,cpd_ID,KEGG class,HMDB,Pubchem CID,CAS,ChEBI,FC,pvalue,vip,sign
D-Gluconic Acid,Carbohydrates,Monosaccharides,Sugar acids,MEDN0239,Carboxylic acids and derivatives,Sugar acids,195.05050269999998,196.058,[M-H]-,C6H12O7,C00257,Carbohydrates,HMDB0000625,10690,526-95-4,33198,1.265190648,0.020358948999999998,2.055577591,Higher in MCI
"(4Z,7Z,10Z,13Z,16Z,19Z)-Eicosahexaenoate",-,-,-,MEDP1274,"Aldehyde,Ketones,Esters",Esters,357.3,356.27152,[M+H]+,C24H36O2,C16185,Lipids,-,47205493,81926-94-5,-,2.29893432,0.047138577,1.699463145,Higher in MCI
"3,4-Dimethyl-5-pentyl-2-furanpropanoic acid",-,-,-,MW0013829,-,-,237.14829,238.1568946,[M-H]-,C14H22O3,-,Lipids,HMDB0112083,23425504,-,-,0.6366010879999999,0.048300036,1.7417865869999998,Lower in MCI
"20,21-Diprenylterpendole I",-,-,-,MW0142145,-,-,590.3813700000001,589.3767,[M+H]+,C37H51NO5,C20532,Others,-,72734299,-,-,0.805335865,0.034630361,1.64986586,Lower in MCI
PC(18:2_20:0),Glycerophospholipids,Glycerophosphocholines,PC,LIPID-N-0240,GP,PC,858.6224109999999,813.6247559999999,[M+COOH]-,C46H88NO8P,C00157,Lipids,HMDB0008143,52922739,-,-,0.8330238529999999,0.004575559,2.082929486,Lower in MCI
PC(18:2_18:2),Glycerophospholipids,Glycerophosphocholines,PC,LIPID-N-0270,GP,PC,826.5598110000001,781.562156,[M+COOH]-,C44H80NO8P,C00157,Lipids,HMDB0008138,5288075,998-06-1,42027,0.7890032709999999,0.007395948,2.006581495,Lower in MCI
PC(18:2_22:6),Glycerophospholipids,Glycerophosphocholines,PC,LIPID-N-0320,GP,PC,874.559811,829.562156,[M+COOH]-,C48H80NO8P,C00157,Lipids,HMDB0008156,24778983,-,-,0.760663248,0.000810539,2.413444396,Lower in MCI
PE(20:4_22:2),Glycerophospholipids,Glycerophosphoethanolamines,PE,LIPID-N-0421,GP,PE,818.569983,819.577806,[M-H]-,C47H82NO8P,C00350,Lipids,HMDB0009404,52924660,-,-,0.816002681,0.030978653999999998,1.684701539,Lower in MCI
PI(18:0_20:2),Glycerophospholipids,Glycerophosphoinositols,PI,LIPID-N-0502,GP,PI,889.588434,890.588432,[M-H]-,C47H87O13P,C00626,Lipids,HMDB0009876,52927990,-,89148,0.805624165,0.047746693,1.5976004259999999,Lower in MCI
CerP(d18:1/18:2),Sphingolipids,Ceramides,Cer-1-P,LIPID-N-0611,SP,CerP,640.470575,641.478426,[M-H]-,C36H68NO6P,-,Lipids,-,-,-,-,0.7881497740000001,0.044069070999999994,1.597133392,Lower in MCI
